Wavel(nm)	T_abs	bandw(nm)
217.533174	0.000000	0.023663
217.556837	0.000000	0.023668
217.580505	0.000000	0.023673
217.604178	0.000000	0.023678
217.627856	0.000000	0.023684
217.651540	0.000000	0.023689
217.675229	0.000000	0.023694
217.698922	0.000000	0.023699
217.722621	0.000000	0.023704
217.746326	0.000000	0.023709
217.770035	0.000000	0.023714
217.793749	0.000000	0.023720
217.817469	0.000000	0.023725
217.841194	0.000000	0.023730
217.864924	0.000000	0.023735
217.888659	0.000000	0.023740
217.912399	0.000000	0.023745
217.936145	0.000000	0.023751
217.959895	0.000000	0.023756
217.983651	0.000000	0.023761
218.007412	0.000000	0.023766
218.031178	0.000000	0.023771
218.054950	0.000000	0.023777
218.078726	0.000000	0.023782
218.102508	0.000000	0.023787
218.126295	0.000000	0.023792
218.150087	0.000000	0.023797
218.173885	0.000000	0.023803
218.197687	0.000000	0.023808
218.221495	0.000000	0.023813
218.245308	0.000000	0.023818
218.269126	0.000000	0.023823
218.292949	0.000000	0.023829
218.316778	0.000000	0.023834
218.340611	0.000000	0.023839
218.364450	0.000000	0.023844
218.388294	0.000000	0.023849
218.412144	0.000000	0.023855
218.435998	0.000000	0.023860
218.459858	0.000000	0.023865
218.483723	0.000000	0.023870
218.507593	0.000000	0.023875
218.531469	0.000000	0.023881
218.555349	0.000000	0.023886
218.579235	0.000000	0.023891
218.603126	0.000000	0.023896
218.627022	0.000000	0.023902
218.650924	0.000000	0.023907
218.674831	0.000000	0.023912
218.698742	0.000000	0.023917
218.722660	0.000000	0.023922
218.746582	0.000000	0.023928
218.770510	0.000000	0.023933
218.794443	0.000000	0.023938
218.818381	0.000000	0.023943
218.842324	0.000000	0.023949
218.866273	0.000000	0.023954
218.890227	0.000000	0.023959
218.914186	0.000000	0.023964
218.938150	0.000000	0.023970
218.962120	0.000000	0.023975
218.986094	0.000000	0.023980
219.010074	0.000000	0.023985
219.034060	0.000000	0.023991
219.058050	0.000000	0.023996
219.082046	0.000000	0.024001
219.106047	0.000000	0.024006
219.130054	0.000000	0.024012
219.154065	0.000000	0.024017
219.178082	0.000000	0.024022
219.202104	0.000000	0.024027
219.226132	0.000000	0.024033
219.250164	0.000000	0.024038
219.274202	0.000000	0.024043
219.298246	0.000000	0.024048
219.322294	0.000000	0.024054
219.346348	0.000000	0.024059
219.370407	0.000000	0.024064
219.394471	0.000000	0.024070
219.418541	0.000000	0.024075
219.442616	0.000000	0.024080
219.466696	0.000000	0.024085
219.490781	0.000000	0.024091
219.514872	0.000000	0.024096
219.538968	0.000000	0.024101
219.563069	0.000000	0.024107
219.587176	0.000000	0.024112
219.611288	0.000000	0.024117
219.635405	0.000000	0.024123
219.659528	0.000000	0.024128
219.683656	0.000000	0.024133
219.707789	0.000000	0.024138
219.731927	0.000000	0.024144
219.756071	0.000000	0.024149
219.780220	0.000000	0.024154
219.804374	0.000000	0.024160
219.828534	0.000000	0.024165
219.852699	0.000000	0.024170
219.876869	0.000000	0.024176
219.901045	0.000000	0.024181
219.925225	0.000000	0.024186
219.949412	0.000000	0.024192
219.973603	0.000000	0.024197
219.997800	0.000000	0.024202
220.022002	0.000000	0.024208
220.046210	0.000000	0.024213
220.070423	0.000000	0.024218
220.094641	0.000000	0.024223
220.118864	0.000000	0.024229
220.143093	0.000000	0.024234
220.167327	0.000000	0.024239
220.191567	0.000000	0.024245
220.215811	0.000000	0.024250
220.240062	0.000000	0.024256
220.264317	0.000000	0.024261
220.288578	0.000000	0.024266
220.312844	0.000000	0.024272
220.337116	0.000000	0.024277
220.361393	0.000000	0.024282
